"X".	"Y".	"Species".	"Diam"
"1".	7.54.	3.28.	"PISY".	7.63
"2".	2.94.	0.31.	"PISY".	7.83
"3".	3.02.	7.91.	"PISY".	8.1
"4".	4.26.	3.05.	"PISY".	8.34
"5".	5.54.	6.63.	"PISY".	8.85
"6".	2.51.	4.73.	"PISY".	9.97
"7".	5.03.	2.02.	"PISY".	13.66
"8".	4.36.	6.66.	"PISY".	13.69
"9".	6.03.	0.86.	"PISY".	15.26
"10".	3.45.	14.79.	"PISY".	7.63
"11".	0.72.	15.39.	"PISY".	8.32
"12".	1.73.	11.26.	"PISY".	8.34
"13".	6.01.	14.76.	"PISY".	8.61
"14".	1.62.	11.42.	"PISY".	9.77
"15".	7.64.	10.84.	"PISY".	10.42
"16".	6.97.	15.89.	"PISY".	10.89
"17".	7.44.	15.71.	"PISY".	12.75
"18".	2.3.	14.12.	"PISY".	14.41
"19".	7.02.	8.29.	"PISY".	14.42
"20".	2.36.	12.2.	"PISY".	15.86
"21".	6.65.	14.22.	"PISY".	15.91
"22".	3.53.	13.33.	"PISY".	17.48
"23".	1.42.	21.88.	"PISY".	7.9
"24".	5.01.	23.2.	"PISY".	8.25
"25".	5.09.	16.98.	"PISY".	8.32
"26".	2.71.	22.32.	"PISY".	8.43
"27".	4.73.	21.74.	"PISY".	8.97
"28".	6.15.	23.97.	"PISY".	9.39
"29".	4.1.	22.88.	"PISY".	10.85
"30".	7.73.	19.4.	"PISY".	11.05
"31".	4.71.	16.63.	"PISY".	11.17
"32".	0.07.	19.51.	"PISY".	11.31
"33".	7.56.	18.44.	"PISY".	12.27
"34".	6.78.	22.04.	"PISY".	12.66
"35".	2.27.	19.94.	"PISY".	12.9
"36".	3.18.	17.06.	"PISY".	14.69
"37".	4.19.	19.09.	"PISY".	15.32
"38".	7.38.	23.34.	"PISY".	15.47
"39".	1.33.	20.09.	"PISY".	15.47
"40".	0.74.	18.12.	"PISY".	15.63
"41".	2.59.	22.64.	"PISY".	16.01
"42".	2.02.	23.36.	"PISY".	16.01
"43".	7.26.	20.1.	"PISY".	16.73
"44".	2.12.	26.64.	"PISY".	9.09
"45".	5.	29.86.	"PISY".	9.43
"46".	4.54.	27.61.	"PISY".	9.82
"47".	4.46.	25.85.	"PISY".	10.4
"48".	6.85.	25.69.	"PISY".	11.22
"49".	1.33.	27.75.	"PISY".	11.31
"50".	6.52.	31.16.	"PISY".	11.32
"51".	3.07.	24.1.	"PISY".	11.98
"52".	3.61.	26.28.	"PISY".	12.22
"53".	7.31.	24.98.	"PISY".	14.93
"54".	5.74.	24.52.	"PISY".	15.21
"55".	1.35.	31.54.	"PISY".	15.24
"56".	6.99.	31.92.	"PISY".	16.1
"57".	0.86.	35.67.	"PISY".	8.51
"58".	0.54.	35.54.	"PISY".	8.59
"59".	5.78.	33.1.	"PISY".	8.8
"60".	1.15.	38.72.	"PISY".	9.48
"61".	5.38.	39.19.	"PISY".	9.67
"62".	7.99.	34.91.	"PISY".	10.26
"63".	4.19.	32.38.	"PISY".	10.53
"64".	7.61.	36.89.	"PISY".	10.99
"65".	3.27.	34.8.	"PISY".	13.95
"66".	3.5.	34.89.	"PISY".	14.65
"67".	2.21.	34.36.	"PISY".	14.96
"68".	1.69.	35.84.	"PISY".	16.01
"69".	6.63.	34.9.	"PISY".	16.18
"70".	3.99.	47.84.	"PISY".	7.57
"71".	6.81.	45.25.	"PISY".	8.25
"72".	6.76.	45.6.	"PISY".	8.69
"73".	7.36.	44.41.	"PISY".	9
"74".	2.29.	43.43.	"PISY".	9.21
"75".	1.36.	42.18.	"PISY".	9.65
"76".	6.01.	47.56.	"PISY".	9.99
"77".	0.16.	42.54.	"PISY".	10.54
"78".	2.78.	46.05.	"PISY".	10.9
"79".	1.16.	44.14.	"PISY".	11.48
"80".	4.71.	44.85.	"PISY".	12.54
"81".	6.16.	44.73.	"PISY".	12.81
"82".	3.53.	43.44.	"PISY".	15.3
"83".	0.38.	43.32.	"PISY".	16.21
"84".	3.1.	46.66.	"PISY".	17.05
"85".	7.07.	43.24.	"PISY".	17.1
"86".	7.65.	55.82.	"PISY".	8.14
"87".	2.34.	51.72.	"PISY".	8.2
"88".	1.34.	55.38.	"PISY".	8.27
"89".	4.23.	50.15.	"PISY".	8.31
"90".	2.72.	49.33.	"PISY".	9.06
"91".	0.25.	54.74.	"PISY".	9.22
"92".	7.29.	54.75.	"PISY".	10.21
"93".	4.12.	50.84.	"PISY".	10.73
"94".	7.09.	55.45.	"PISY".	11.05
"95".	2.45.	49.8.	"PISY".	11.58
"96".	1.17.	53.31.	"PISY".	12.1
"97".	2.28.	50.35.	"PISY".	12.59
"98".	5.97.	54.97.	"PISY".	13.04
"99".	4.34.	55.31.	"PISY".	13.04
"100".	0.78.	53.75.	"PISY".	13.38
"101".	6.81.	54.54.	"PISY".	15.23
"102".	6.9.	55.84.	"PISY".	15.41
"103".	5.94.	52.65.	"PISY".	15.73
"104".	5.09.	53.38.	"PISY".	16.79
"105".	1.78.	48.63.	"PISY".	17.22
"106".	2.47.	49.23.	"PISY".	20.16
"107".	4.95.	60.26.	"PISY".	7.87
"108".	3.7.	62.52.	"PISY".	9.02
"109".	3.47.	61.63.	"PISY".	9.3
"110".	4.6.	56.71.	"PISY".	9.43
"111".	0.05.	63.13.	"PISY".	9.69
"112".	1.34.	58.95.	"PISY".	11.33
"113".	7.54.	56.94.	"PISY".	12.78
"114".	2.37.	60.48.	"PISY".	12.82
"115".	7.17.	63.32.	"PISY".	14.57
"116".	5.39.	62.63.	"PISY".	15.64
"117".	4.18.	58.19.	"PISY".	15.75
"118".	1.02.	65.28.	"PISY".	1.18
"119".	3.35.	64.39.	"PISY".	7.8
"120".	2.	71.22.	"PISY".	8.46
"121".	7.7.	67.87.	"PISY".	10.05
"122".	5.05.	69.63.	"PISY".	10.11
"123".	7.14.	71.78.	"PISY".	10.9
"124".	1.37.	69.11.	"PISY".	11.27
"125".	6.46.	67.97.	"PISY".	11.52
"126".	3.22.	69.08.	"PISY".	11.7
"127".	5.7.	68.48.	"PISY".	11.91
"128".	2.08.	65.76.	"PISY".	12.03
"129".	1.37.	69.88.	"PISY".	12.36
"130".	6.89.	69.21.	"PISY".	12.42
"131".	1.72.	67.6.	"PISY".	13.21
"132".	6.21.	66.55.	"PISY".	13.3
"133".	1.42.	70.98.	"PISY".	14.23
"134".	2.38.	69.62.	"PISY".	14.9
"135".	6.22.	65.62.	"PISY".	15.25
"136".	7.79.	64.19.	"PISY".	17.27
"137".	2.31.	66.04.	"PISY".	17.42
"138".	3.93.	79.36.	"PISY".	8.43
"139".	5.97.	72.17.	"PISY".	9.55
"140".	3.33.	77.5.	"PISY".	10.09
"141".	3.4.	76.84.	"PISY".	10.37
"142".	6.41.	74.45.	"PISY".	11.01
"143".	3.94.	75.42.	"PISY".	11.35
"144".	0.17.	74.95.	"PISY".	11.79
"145".	1.42.	73.87.	"PISY".	14.72
"146".	4.56.	76.85.	"PISY".	15.06
"147".	2.95.	77.97.	"PISY".	15.37
"148".	6.2.	74.02.	"PISY".	16.36
"149".	7.93.	79.78.	"PISY".	16.59
"150".	0.6.	73.58.	"PISY".	16.84
"379".	9.39.	0.46.	"PISY".	7.64
"380".	14.93.	7.29.	"PISY".	7.88
"381".	15.43.	0.32.	"PISY".	8.9
"382".	13.42.	5.19.	"PISY".	9.8
"383".	10.06.	0.73.	"PISY".	10.53
"384".	8.73.	0.02.	"PISY".	11.43
"385".	13.02.	6.01.	"PISY".	12.18
"386".	13.44.	1.28.	"PISY".	13.29
"387".	12.52.	2.34.	"PISY".	14.14
"388".	15.43.	0.39.	"PISY".	14.27
"389".	10.33.	0.42.	"PISY".	14.43
"390".	15.75.	7.68.	"PISY".	15.16
"391".	13.89.	7.26.	"PISY".	16.13
"392".	12.16.	14.18.	"PISY".	7.64
"393".	8.07.	8.81.	"PISY".	8.3
"394".	13.1.	9.32.	"PISY".	8.5
"395".	14.5.	14.61.	"PISY".	9.01
"396".	8.37.	11.32.	"PISY".	9.72
"397".	12.6.	12.77.	"PISY".	10.21
"398".	9.1.	10.03.	"PISY".	10.39
